EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
143462886,SIS / Crayfd 4th May,S4 540m,04-05-2018 12:36,12795062,1. Pesky Tess,0,6.2,1,1,1,1001,1,1001,0,0,0
143462886,SIS / Crayfd 4th May,S4 540m,04-05-2018 12:36,17812020,4. Deanridge Maisie,0,10.671646442352793,1,1,1,1001,1,1001,0,0,0
143462892,SIS / Crayfd 4th May,A5 380m,04-05-2018 13:22,11339955,6. Jet Stream Tracy,0,9.738384695147982,1,1,1,1001,1,1001,0,0,0
143463592,SIS / CPark 4th May,A4 480m,04-05-2018 20:48,12433266,1. Well Lane Lock,0,25,1,1,1,1001,1,1001,0,0,0
143462926,TRP / Swin 4th May,A9 480m,04-05-2018 12:42,18181325,2. Westwell Fran,0,4.1,1,1,1,1001,1,1001,0,0,0
143463576,SIS / CPark 4th May,D2 265m,04-05-2018 18:37,18336124,3. Moneyforbrandy,0,7,1,1,1,1001,1,1001,0,0,0
143463588,SIS / CPark 4th May,A2 480m,04-05-2018 20:16,17828372,2. Swift Advice,0,4.858573168,1,1,1,1001,1,1001,0,0,0
143435786,AUS / Dubb (AUS) 4th May,R5 318m M1/2/3,04-05-2018 11:24,10752530,3. Marbos Magic,0,2.12,1,1.98544052853991170990765773974790798792,1,1001,1,1001,18656.68,0,0
143435818,AUS / Bend (AUS) 4th May,R10 425m Gr6,04-05-2018 09:19,18257142,1. Full Of Weetbix,0,11.417414563504282,1,7.31182353779636052644082292013113507863,1,1001,1,1001,841.88,0,0
143419013,AUS / Ipsw (AUS) 4th May,R1 431m Mdn,04-05-2018 06:44,18574840,4. Cyndies Annie,0,2.6135154683177824,1,2.49861635249434955845003145606636064963,1,1001,1,1001,4291.7,0,0
